Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1520300051530425908    0.000000    0.000000    0.000000
1    1    1520300051532437744    994.116817    497.058411    497.058408
2    2    1520300051541267318    276.716774    184.477844    113.255747
3    3    1520300051543172953    313.798218    235.348663    524.759463
4    4    1520300051550135678    253.681296    202.945038    143.621930
5    5    1520300051552034739    277.664257    231.386887    526.576029
6    6    1520300051553991588    297.042139    254.607559    511.025634
7    7    1520300051560926571    262.289380    229.503204    144.196460
8    8    1520300051562841309    277.645802    246.796280    522.264665
9    9    1520300051564708591    291.692456    262.523224    535.537750
10    10    1520300051571618993    267.035110    242.759186    144.709382
11    11    1520300051573519159    278.465879    243.419067    526.269810
12    12    1520300051582249349    250.851733    244.009384    114.545044
13    13    1520300051584210961    260.295365    243.676544    509.784810
14    14    1520300051591249056    246.616634    243.229828    142.083902
15    15    1520300051593184382    254.945651    243.015472    516.708813
16    16    1520300051600100811    243.990293    216.876343    144.583281
17    17    1520300051602015041    251.434809    243.377274    522.403264
18    18    1520300051603954804    258.401813    243.229141    515.526897
19    19    1520300051610886207    248.569795    216.555145    144.270936
20    20    1520300051612761588    255.053459    243.057098    533.224982
21    21    1520300051614728464    260.964804    242.663635    508.420460
22    22    1520300051623794274    246.336109    240.703293    110.304540
23    23    1520300051630197829    240.548641    217.453369    156.163256
24    24    1520300051632080668    245.930441    244.908279    531.112857
25    25    1520300051634007602    251.009604    244.958633    518.959134
26    26    1520300051640952349    244.285438    244.788834    143.993726
27    27    1520300051642915769    248.911322    244.494431    509.315378
28    28    1520300051644783976    253.589454    244.922913    535.272590
29    29    1520300051651694501    247.384745    245.048218    144.706806
30    30    1520300051653627430    251.620268    244.703140    517.349577
31    31    1520300051660553389    245.912698    218.221848    144.384337
32    32    1520300051664555444    246.030822    245.331528    249.871628
33    33    1520300051671155781    241.597603    244.152832    151.507415
34    34    1520300051673090160    245.331255    243.845978    516.961774
35    35    1520300051680039412    240.619991    217.241074    143.900379
36    36    1520300051681959214    244.170744    243.861603    520.887050
37    37    1520300051683858333    247.666033    244.244583    526.559947
38    38    1520300051690809492    243.167031    217.270782    143.860901
39    39    1520300051692708912    246.482990    243.816742    526.476503
40    40    1520300051694747922    249.510087    243.187744    490.434083
41    41    1520300051701699629    245.221507    243.035568    143.849561
42    42    1520300051710248505    239.124563    218.851608    116.974442
43    43    1520300051712147668    242.128406    243.950714    526.547748
44    44    1520300051714082762    245.022165    243.946457    516.770762
45    45    1520300051721110809    241.235671    243.478439    142.287039
46    46    1520300051723031957    244.021412    243.470474    520.522104
47    47    1520300051729958832    240.561803    216.917389    144.365244
48    48    1520300051731840409    243.279405    243.718658    531.469082
49    49    1520300051733785485    245.869906    243.447769    514.118729
50    50    1520300051740780150    242.448165    217.239090    142.966103
51    51    1520300051742702159    244.963814    243.887390    520.288927
52    52    1520300051751236798    240.024394    243.972107    117.169572
53    53    1520300051753231088    242.364204    243.407196    501.431587
54    54    1520300051760194120    239.371667    216.866302    143.615597
55    55    1520300051762126628    241.691092    243.808365    517.462282
56    56    1520300051764002153    244.031665    244.079880    533.184042
57    57    1520300051771021798    241.068125    243.528442    142.457346
58    58    1520300051772912637    243.312285    243.473526    528.865757
59    59    1520300051774800064    245.525145    243.815735    529.821816
60    60    1520300051781763985    242.700990    243.998642    143.597264
61    61    1520300051783654771    244.837809    244.184662    528.880582
62    62    1520300051792142608    240.718303    244.464050    117.815646
63    63    1520300051794150295    242.677595    244.384003    498.085608
64    64    1520300051801172766    240.076655    244.029541    142.400018
65    65    1520300051803066605    242.076846    244.260025    528.027990
66    66    1520300051810009557    239.642054    217.356308    144.030954
67    67    1520300051811901405    241.584084    244.620743    528.583692
68    68    1520300051813811126    243.484824    244.507797    523.636699
69    69    1520300051820748965    241.110716    217.633072    144.137101
70    70    1520300051822774051    242.861129    243.842575    493.806189
71    71    1520300051824658900    244.704034    243.877869    530.546479
72    72    1520300051833701289    240.705328    240.623627    110.590243
73    73    1520300051840177630    238.901012    217.262192    154.408176
74    74    1520300051842138927    240.605927    244.103912    509.866685
75    75    1520300051844156366    242.246164    243.369644    495.677936
76    76    1520300051851109918    240.111754    243.306870    143.811393
77    77    1520300051853091883    241.736055    242.774551    504.549778
78    78    1520300051860031354    239.680506    216.355484    144.103203
79    79    1520300051861940157    241.316928    242.770340    523.888531
80    80    1520300051863812014    242.961535    243.676819    534.228843
81    81    1520300051870777778    240.927132    216.830933    143.559271
82    82    1520300051874745136    241.055373    243.641876    252.056910
83    83    1520300051881135985    239.514076    244.150436    156.473733
84    84    1520300051883013284    241.074995    244.652161    532.680196
85    85    1520300051889940641    239.211337    218.415604    144.355199
86    86    1520300051891873844    240.698566    245.314941    517.276251
87    87    1520300051893762581    242.199609    245.877274    529.454339
88    88    1520300051900740267    240.336346    245.646454    143.313987
89    89    1520300051902658056    241.784597    245.592239    521.433797
90    90    1520300051904601824    243.201115    245.159271    514.464689
91    91    1520300051911546288    241.393546    245.287354    143.999594
92    92    1520300051920313489    238.530296    219.450531    114.061489
93    93    1520300051922317675    239.862145    242.826370    498.955686
94    94    1520300051924235510    241.233326    242.587585    521.421290
95    95    1520300051931181501    239.547499    242.477966    143.967938
96    96    1520300051933170486    240.847439    242.150436    502.769000
97    97    1520300051940090637    239.220009    215.851929    144.505517
98    98    1520300051942011075    240.533450    242.302017    520.714545
99    99    1520300051943965764    241.814661    242.085571    511.590335
100    100    1520300051950873136    240.220397    216.116638    144.772860
101    101    1520300051952740561    241.526074    242.752197    535.496740
102    102    1520300051961244745    239.079611    244.312073    117.589177
103    103    1520300051963195505    240.312630    244.631378    512.620722
104    104    1520300051970213209    238.751778    217.496750    142.496748
105    105    1520300051972097392    239.997382    244.403824    530.734010
106    106    1520300051974011742    241.215999    244.850464    522.370517
107    107    1520300051981019431    239.683871    244.326767    142.700397
108    108    1520300051982989036    240.850377    244.033615    507.716014
109    109    1520300051989923899    239.391689    217.589340    144.198955
110    110    1520300051991820854    240.574807    244.213852    527.160634
111    111    1520300051993723238    241.745404    244.005539    525.656229
112    112    1520300052002136172    239.553829    244.550034    118.864596
113    113    1520300052004025208    240.709815    244.919739    529.370536
114    114    1520300052011017663    239.288333    245.071274    143.011289
115    115    1520300052012899612    240.427611    245.084702    531.364027
116    116    1520300052014805493    241.546101    245.135590    524.691730
117    117    1520300052021814628    240.135752    245.126892    142.670957
118    118    1520300052023732926    241.229084    245.435577    521.295440
119    119    1520300052030667416    239.884132    245.437820    144.206712
120    120    1520300052032568501    240.967410    245.412933    526.015407
121    121    1520300052034473167    242.040796    245.399200    525.026435
122    122    1520300052043374944    239.789904    242.490250    112.337121
123    123    1520300052050177447    238.575532    216.674210    147.004713
124    124    1520300052052119224    239.604373    243.299774    514.992195
125    125    1520300052054113846    240.601303    242.634613    501.348125
126    126    1520300052061132284    239.303701    215.857819    142.481846
127    127    1520300052063096241    240.298721    242.238602    509.176117
128    128    1520300052070011025    239.072569    216.084930    144.617677
129    129    1520300052071895772    240.087230    242.551514    530.575191
130    130    1520300052073771662    241.098783    242.699829    533.080298
131    131    1520300052080697056    239.881739    216.338348    144.396117
132    132    1520300052084777037    239.920139    241.533691    245.099181
133    133    1520300052091180215    238.963836    243.885971    156.172451
134    134    1520300052093140804    239.908346    243.774124    510.050806
