1 3 1524063060.0809433
2 3 1524063060.8243868
1 10.54712871191489 0.99 1524063061.238278
1 10.644220386900423 0.9899666666666667 1524063061.520263
1 10.684595142835006 0.9899333333333333 1524063061.8057866
1 10.672822987051353 0.9899 1524063062.0858352
2 9.536706957103135 0.99 1524063062.1065848
1 10.6664371838168 0.9898666666666667 1524063062.3648403
2 9.84073070034521 0.99 1524063062.4107172
1 10.721643482747751 0.9898333333333333 1524063062.6422203
2 9.388628038370296 0.99 1524063062.7520173
1 10.684366260998631 0.9898 1524063062.9232125
2 9.12386515945917 0.99 1524063063.093246
1 10.719080006180477 0.9897666666666667 1524063063.204047
2 9.285036119232023 0.99 1524063063.3945112
1 10.691545521265912 0.9897 1524063063.485872
2 8.926904709873547 0.99 1524063063.7490268
1 10.630174671542227 0.9896333333333334 1524063063.7707796
2 9.374795946059367 0.99 1524063064.0370755
1 10.683069263925901 0.9895666666666667 1524063064.059726
1 10.696535145298649 0.9894666666666667 1524063064.3286686
2 9.353242906468438 0.99 1524063064.3775725
1 10.713937794256845 0.9893666666666666 1524063064.605684
2 9.006631882873606 0.99 1524063064.7264135
1 10.663950001194978 0.9892666666666666 1524063064.8952222
2 9.473688158157637 0.99 1524063065.0151632
1 10.617059742318581 0.9891333333333333 1524063065.1768725
2 8.83271983420983 0.99 1524063065.3896422
1 10.610826526974932 0.989 1524063065.4594114
2 9.044923814097274 0.99 1524063065.711121
1 10.488786731825746 0.9888666666666667 1524063065.7548842
2 9.332658799984792 0.99 1524063066.0194314
1 10.533075367162144 0.9887 1524063066.0502243
1 10.583528553291274 0.9885 1524063066.3132706
2 8.90674784948444 0.99 1524063066.3657115
1 10.54137614842761 0.9883 1524063066.6011543
2 9.05954173404638 0.99 1524063066.7134085
1 10.537271534162153 0.9880666666666666 1524063066.8889096
2 9.227273973128336 0.99 1524063067.0054982
1 10.534601246071242 0.9878333333333333 1524063067.1718283
2 9.371912034921184 0.99 1524063067.2949035
1 10.466554676120277 0.9875666666666667 1524063067.4588857
2 9.827188525027012 0.99 1524063067.584709
1 10.41959575269296 0.9873 1524063067.7495322
2 10.184083972469125 0.99 1524063067.892148
1 10.518327747505776 0.987 1524063068.0340617
2 9.584077867835902 0.99 1524063068.2569766
1 10.533884082983963 0.9866666666666667 1524063068.3128915
2 9.684953722515997 0.99 1524063068.5324786
1 10.584901844309469 0.9863 1524063068.5934615
2 9.393075975390293 0.99 1524063068.864795
1 10.730646168311406 0.9858666666666667 1524063068.8860118
1 10.818391834978744 0.9853666666666666 1524063069.1431992
2 9.357049974346634 0.99 1524063069.1766074
1 10.856569325284228 0.9847666666666667 1524063069.4184651
2 9.930627856274372 0.99 1524063069.466399
1 10.87054637609152 0.9840666666666666 1524063069.6985483
2 9.782892260296066 0.99 1524063069.7598
1 10.738222157095043 0.9833 1524063069.985783
2 9.482416185517648 0.99 1524063070.1261482
1 10.63598827018587 0.9825 1524063070.2671387
2 9.312837632955688 0.99 1524063070.4645476
1 10.635370289227684 0.9816333333333334 1524063070.5460103
2 8.938570054133553 0.99 1524063070.8117933
1 10.601419483500392 0.9807 1524063070.8353646
1 10.601503406840385 0.9796666666666667 1524063071.1164207
2 8.619440109691471 0.99 1524063071.1527119
1 10.67927745483682 0.9785666666666667 1524063071.392661
2 8.892900498384423 0.99 1524063071.4754326
1 10.580583606996727 0.9774 1524063071.6849384
2 9.129404099899167 0.99 1524063071.7772968
1 10.533868824194881 0.9761666666666666 1524063071.966651
2 9.346582445030258 0.99 1524063072.0920527
1 10.627000843411317 0.9748333333333333 1524063072.2440777
2 9.558107408803165 0.99 1524063072.408004
1 10.568262134805806 0.9734 1524063072.5272882
2 9.483972582004913 0.99 1524063072.7432022
1 10.623056446431313 0.9718666666666667 1524063072.8108351
2 9.345392259481168 0.99 1524063073.0617814
1 10.670427357164083 0.9702 1524063073.0911915
1 10.633325611489498 0.9684333333333334 1524063073.3767288
2 9.357118638897541 0.99 1524063073.4049075
1 10.540666614734874 0.9666 1524063073.6654403
2 9.444307359763071 0.99 1524063073.6851954
1 10.478685413447558 0.9646666666666667 1524063073.954114
2 9.409448656084852 0.99 1524063074.021531
1 10.46692088705846 0.9626666666666667 1524063074.2405226
2 9.479089769495825 0.99 1524063074.3301291
1 10.300684009307416 0.9606333333333333 1524063074.541047
2 9.481523546355817 0.99 1524063074.6416416
1 10.350282703247455 0.9585666666666667 1524063074.8229506
2 9.576959642724994 0.99 1524063074.9297917
1 10.412599597894772 0.9564 1524063075.105965
2 9.584779772134084 0.99 1524063075.2688875
1 10.326959644121976 0.9542 1524063075.4015908
2 9.77584269973606 0.99 1524063075.5562649
1 10.43670848465843 0.9519 1524063075.6880205
2 9.633844408455955 0.99 1524063075.886668
1 10.423128162367512 0.9495333333333333 1524063075.9769204
2 9.496332201168569 0.99 1524063076.1948159
1 10.348497424923812 0.9471 1524063076.267418
2 9.98436168205805 0.99 1524063076.4700885
1 10.442369495411159 0.9445666666666667 1524063076.5501604
2 9.926858935368912 0.99 1524063076.7642925
1 10.321336780341968 0.942 1524063076.84908
2 9.868577990436139 0.99 1524063077.1005065
1 10.20508769565278 0.9394333333333333 1524063077.1534252
2 9.875505480683419 0.99 1524063077.4109023
1 10.216547046260066 0.9368333333333333 1524063077.441781
2 9.546457323332236 0.99 1524063077.7341344
1 10.077478442485406 0.9342333333333334 1524063077.7589984
1 10.21783641393825 0.9315666666666667 1524063078.025817
2 9.511301073266763 0.99 1524063078.0493531
1 10.384721790225665 0.9288 1524063078.3059433
2 9.57003215247771 0.99 1524063078.3599312
1 10.333063159758348 0.926 1524063078.6028352
2 9.559366258903156 0.99 1524063078.6637444
1 10.427858386985697 0.9230666666666667 1524063078.890085
2 9.400758775697573 0.99 1524063079.0050058
1 10.304414783240144 0.9201 1524063079.189382
2 9.174791368050109 0.99 1524063079.3349926
1 10.196931872883692 0.9171333333333334 1524063079.4868917
2 9.240175279304719 0.99 1524063079.6599674
1 10.203302417329152 0.9141333333333334 1524063079.7778597
2 9.222192796361057 0.99 1524063079.9653904
1 10.077562365825413 0.9111333333333334 1524063080.079719
2 9.081041367875489 0.99 1524063080.3258152
1 10.097482714983608 0.9081333333333333 1524063080.3794315
2 8.97351268115176 0.99 1524063080.6741579
1 10.064806018145399 0.9051333333333333 1524063080.697542
2 9.125154527137353 0.99 1524063080.9799187
1 10.020990405270814 0.9021333333333333 1524063081.00258
1 10.050279650930841 0.8991 1524063081.2791197
2 8.815530808298911 0.99 1524063081.3318202
1 10.077676806743595 0.8960666666666667 1524063081.5662615
2 9.150011094566452 0.99 1524063081.6361396
1 10.094713244763609 0.893 1524063081.8645844
2 9.288682969824753 0.99 1524063081.9624388
1 10.11108592545816 0.8899333333333334 1524063082.1619327
2 9.114854844500972 0.99 1524063082.2856276
1 10.106210742343618 0.8868666666666667 1524063082.461464
2 9.432771715210325 0.99 1524063082.5995994
1 10.069009814539942 0.8837666666666667 1524063082.7622347
